voc_id,created_at,user_id,publisher,ad_type,ad_name,category,voc_content,log_matching,daily_query_cnt,actual_risk_level
VOC-1A5727CF,2025-06-12 04:56,U969325,리브메이트,CPA,멀티미션 완료,기타,리워드 지급 기준이 어떻게 되나요?,No_Record,1,Low
VOC-29C230B5,2025-06-04 02:21,U278368,캐시워크,CPA,플레이스 검색+저장하기,리워드미지급,하루에 15건 이상 문의하는 게 이상하다고요? 진짜 다 참여한 건데 왜 안 되는지 모르겠어요.,No_Record,30,Grey
VOC-4B08F489,2025-06-25 13:58,U162165,포인트타운,CPA,저장하고 링크 입력하기,리워드미지급,스크린샷 보내드립니다. 분명 완료했는데 로그에 안 잡힌다니 이해가 안 됩니다.,No_Record,16,Grey
VOC-F320058C,2025-06-08 20:23,U479742,신한SOL,CPA,멀티미션 완료,광고참여불가,멀티미션 완료 광고가 안 뜨는데 확인 부탁드립니다.,Match,3,Low
VOC-E7769463,2025-06-19 20:17,U758309,KB국민은행,CPA,앱 설치+실행,리워드미지급,"리워드 안 들어왔어요
홍길동
010-0000-0000",No_Record,7,Grey
VOC-D1F394BF,2025-06-22 07:17,U659614,리브메이트,CPA,앱 설치+실행,리워드미지급,참여 완료 캡처본 있는데 시스템에서는 미참여라고 뜹니다. 기록 확인해주세요.,No_Record,13,Grey
VOC-EECF944D,2025-06-29 16:12,U700521,토스,CPA,쇼핑 정답 입력하기,리워드미지급,쇼핑 정답 입력하기 미션 3단계까지 완료했는데 2단계부터 적립이 안 됩니다. 확인 부탁드립니다.,Match,8,Medium
VOC-9DB3742C,2025-06-25 16:07,U461939,네이버페이,CPA,멀티미션 완료,리워드미지급,미션 완료했는데 포인트 반영이 안 돼요.,No_Record,2,Low
VOC-C2721572,2025-06-22 21:51,U523956,OK캐쉬백,CPA,멀티미션 완료,리워드미지급,멀티미션 완료 광고 참여했는데 리워드가 안 들어왔어요.,Match,3,Low
VOC-F4B41E26,2025-06-23 00:10,U620526,허니스크린,CPA,게임 레벨 달성,리워드미지급,개짜증나네 스크린샷 보내드립니다. 분명 완료했는데 로그에 안 잡힌다니 이해가 안 됩니다.,No_Record,32,Grey
